Character,Dialogue
Steven e,"[whispers to the Cloak of Levitation] Do not let him close his fist. [the Cloak swoops off Strange's shoulders and wraps itself tightly around Thanos's armored hand, who starts tugging at this unexpected wrapping.]"
peter parker,"Magic! [He punches Thanos in the head and vanishes through a portal to the lower right before reappearing above Thanos] More magic! [He yanks Thanos's head down hard, then leaps into a portal in front of him. He leaps through another portal high and behind Thanos] Magic with a kick! [Delivers a flying kick and falls feet-first into an exit, then appears on his right] Magic with a-"
thanos,Insect!
thanos,"Well, well."
Nebula,You should have killed me.
thanos,Would've been a waste of parts!
Nebula,"[she runs at Thanos, attacking him with her sword] Where's Gamora?!"
Tony Stark,[while pulling] Is he under? Don't let up.
Mantis,[starting to cry] Be quick. He is very strong.
Tony Stark,"Parker, help! Get over here. [Spider-Man drops his webline, and hurries to help Tony with the gauntlet] She can't hold him much longer. Let's go."
peter quill,"[flies over to join the others, stands in front of Thanos, tauntingly.] I thought you'd be harder to catch. For the record, this was my plan. Not so strong now, huh? Where is Gamora?"
thanos,My... Gamora...?
peter quill,"No, bullshit. Where is she?"
Mantis,[shocked] He is in anguish.
peter quill,Good.
Mantis,[crying] He… he… mourns.
Drax,What does this monster have to mourn?!
Nebula,Gamora.
peter quill,[pause] What?
Nebula,[realising with horror and sadness what has happened.] He took her to Vormir. He came back with the Soul Stone... but she didn't.
Tony Stark,"[grasps the danger immediately and dehelmets] Okay, Quill, you gotta cool it right now, you understand?"
Tony Stark,"[shouting his pleads desperately] Don't, don't, don't engage, we've almost got this off!"
peter quill,Tell me she's lying. [enraged] ASSHOLE! Tell me you didn't do it!
thanos,I... had... to.
peter quill,"[while starting to tear up; quietly] [while starting to tear up; quietly] No, you didn't…! No, you didn't…! [he continues to rage and then pistol-whipping Thanos twice in the face, causing Mantis to let go in pain] [he continues to rage and then proceeds to pistol-whipping Thanos in the face] NO, YOU DIDN'T!!!"
Tony Stark,Quill!
Tony Stark,"[to the struggling Quill] Hey, stop! Hey, stop! Stop! Hey, stop! Stop!"
peter parker,It's coming! It's coming! It's coming! [getting the fingers completely loose] I got it! I got it...!
peter parker,"[seeing Mantis with far too much air under her] Oh, God. [he jumps and wraps his arms and legs around her, extending his spider legs to form a roll cage for a safe landing]"
Rocket Raccoon,"[having found a clear spot] Come and get some, space dogs! [Another wave of Outriders heads right for the raccoon-oid. Bucky, having come up behind Rocket, grabs him with his mechanical arm, holds him at arms length and spins 540 degrees, firing his own M249 at the same time.] Come on, get some, get some! Come on, get some! [Bucky drops Rocket, who looks up at him with an impressed gleam] How much for the gun?"
Bucky Barnes,[snaps off another burst] Not for sale.
Rocket Raccoon,"Okay, how much for the arm? [Bucky just gives him a look and moves off] Oh, I'll get that arm."
Steve Rogers,[panting] New haircut?
Thor,[grinning] Notice you've copied my beard.
Thor,"By the way, this is a friend of mine. Tree. [gestures towards Groot with Stormbreaker]"
groot,[in full battle snarl] I am GROOT!
Steve Rogers,"[formally, but bemused] I... I am Steve Rogers."
T'challa,Fall back! Fall back now!
james rhodes,"Focus that fire on the left flank, Sam."
Sam Wilson,I'm doing it. [the two fliers use their firepower to crack a Thresher but cannot find a weak spot]
okoye,[a touch indignant] Why was she up there all this time?
proxima midnight,She's on the field. Take it.
Sam Wilson,"Guys, we got a Vision situation here. [he's tackled by a leaping Outrider and grounded.]"
Steve Rogers,Somebody get to Vision!
Bruce Banner,I got him! [Bruce has figured out the Hulkbusters repulsor thrusters and makes a beeline for the android.]
Wanda Maximoff,On my way. [she is clobbered by Proxima Midnight's pommel and rolls down into the large ditch from the Thresher before she can move.]
proxima midnight,[jumping down next to Wanda] He'll die alone. As will you.
Natasha Romanov,She's not alone.
proxima midnight,"Euuyaaah! [she leaps for Black Widow, who has joined her sticks into a full staff. She blocks Proxima's blow with an electrical crackle while Okoye runs around the slope to also attack from the front.]"
Bruce Banner,"Ohh no, oh no you don't. This isn't going to be like New York, pal. This suit's already kicked the crap out of the Hulk- [Cull Obsidian jumps forward, grabs Bruce's right arm and Bruce in reflex grabs Obsidian's hammer; a jet fires, taking the two of them in a random direction, to the base of a waterfall.]"
Bruce Banner,"Guys! Vision needs backup now! [Obsidian pulls the Hulkbuster up and kicks it in the small of the back] [trying to change into the Hulk while fighting Cull Obsidian in the Hulkbuster armor] Hulk. Hulk, I know you like making your entrance at the last second, well, this is it, man. This is the last, last second. [Bruce extends his left hand protectively; Obsidian grabs the armor's hand, chops the shoulder joint with a relatively small axe then does a roll over Bruce's back to leverage snapping off the Hulkbuster's whole arm] Ahhhhh! Hulk! Hulk! HULK!"
Bruce Banner,[Banner's face briefly becomes the Hulk] NOOOO!!!
Bruce Banner,"Oh, screw you, you big green asshole! I'll do it myself! [to Obsidian] Come on!"
Bruce Banner,"See ya! [the repulsors fire, taking Cull Obsidian high into the air - high enough, in fact, to intersect the defense dome. The Hulkbuster arm drags Obsidian against the field to grotesque destructive effect, ending in a very final explosion.] Hulk, we got a lot to figure out, pal."
corvus glaive,"I thought you were formidable, machine. But you're dying, like any man. [he yanks his blade out, and Vision collapses. As he bends over his fallen opponent to retrieve the Stone, he's tackled by Captain America at full speed]"
Steve Rogers,"Get outta here! [he exchanges blows with Glaive, using his arm-shields as offence as well as defence, then turns to Vision again] GO!"
Natasha Romanov,That was really gross.
Steve Rogers,[helping him back up] I thought I told you to go.
Vision,"We don't trade lives, Captain."
peter parker,"[webs Mantis] I got you! I got you! [snags Drax, securing both of them to something Not Moving] I'm sorry I can't remember anybody's names! [reels in Star-Lord]"
thanos,"You're full of tricks, wizard."
doctor e,[as Thanos reaches for the Eye of Agamotto] No!
thanos,[he snaps the Eye off its chain] Yet you never once used your greatest weapon. [he crushes it in his bare hand] A fake. [he throws e hard enough that Strange's head hits stone and he passes out]
Tony Stark,"[sounding just about done with the Titan] You throw another moon at me, and I'm gonna to lose it."
thanos,Stark.
Tony Stark,You know me?
thanos,I do. You're not the only one cursed with knowledge.
Tony Stark,My only curse is you. [small rockets pop out of Iron Man's back and launch at Thanos]
thanos,Come on!
thanos,[panting] All that for a drop of blood.
thanos,"You have my respect, Stark. When I'm done, half of humanity will still be alive. [he lets go, straightens and steps back] I hope they remember you."
doctor e,Stop! [sitting up and sounding entirely damaged] Spare his life... and I will give you the stone.
thanos,No tricks. [e shakes his head as Thanos points all four Stones at him instead]
Tony Stark,Don't..!
thanos,"One to go. [an energy blast hits the gauntlet right in the empty Mind Stone setting, and Thanos grimaces in surprise]"
peter quill,"[screaming in incoherent rage, helmet up, firing with both hands and flying straight for Thanos]"
peter quill,[standing and dehelmeting] Where is he?!
peter quill,[now fearful instead of furious] Did we just lose?
Tony Stark,"[to e, sadly, who has given the Time Stone to Thanos] Why would you do that?"
doctor e,We're in the Endgame now.
m'baku,MAYEFA!
jabari,YA HU!
Wanda Maximoff,[landing as she finally locates Vision] Are you okay? [Vision flinches in pain before he can answer] What? What is it?
Vision,He's here.
Steve Rogers,"Everyone, on my position. We have incoming. [he is joined by the Black Widow, Falcon, Okoye and the Black Panther in short order.]"
Natasha Romanov,What the hell?
Bruce Banner,"[Bruce sees the blue-black clouds of a Space Stone relocation just before Thanos steps forward, and confirms this isn't just another member of the Black Order] Cap. That's him."
Steve Rogers,Eyes up. Stay sharp.
Vision,Wanda. It's time.
Wanda Maximoff,No.
Vision,"They can't stop him, Wanda, but we can. Look at me. You have the power to destroy the stone."
Wanda Maximoff,Don't.
Vision,"You must do it. Wanda, please. We. Are. Out of time."
Wanda Maximoff,I can't.
Vision,"Yes, you can. You can. If he gets the stone, half the universe dies."
Wanda Maximoff,It's not fair.
Vision,"It shouldn't be you, but it is. It's all right. You could never hurt me. I just... feel you. [Wanda extends a trembling hand and starts beaming her energy at the Mind Stone.]"
Vision,[very softly] It's all right. It's all right. I love you.
thanos,"[walking closer to Wanda] I understand, my child. Better than anyone."
Wanda Maximoff,[snarls] You could never.
thanos,"[reaches down to presume to stroke her hair, as if in comfort] Today, I lost more than you can know. But now is no time to mourn. Now... is no time at all. [He reaches forward, clenching the gauntlet, emerald filigree surrounding his wrist, making a gesture very similar to that Doctor e made when activating the Eye of Agamotto. In response, a bead of yellow light starts gathering in on itself as time is reversed and growing in size, solidifying into an intact and conscious Vision]"
Wanda Maximoff,No! [she lunges for Vision and is swatted away.]
Thor,"[lands in front of Thanos, who is down on one knee; hatefully.] I told you. You'd die for that!"
thanos,[weakly] You should have... You... [suddenly stronger] You should have gone for the head! [He raises his gauntlet and snaps his fingers.]
Thor,NO!
thanos,Daughter?
Gamora,Did you do it?
thanos,Yes.
Gamora,[beat] What did it cost?
thanos,[solemnly] Everything.
Thor,What'd you do? [angrily] WHAT'D YOU DO?!
Steve Rogers,"[stumbles into the clearing, holding his left side] Where'd he go? Thor... where'd he go?"
Bucky Barnes,Steve?
T'challa,"[while reaching for a fallen Okoye] Up, General. Up! This is no place to die. [T'Challa holds out his hand for Okoye. But he suddenly disintegrates into ashes and an anguish Okoye falls back on the ground]"
okoye,Kumkani?!
Rocket Raccoon,"No... no. No. No. No! Groot, no."
james rhodes,"[searching for Falcon, missing him by only a few feet] Sam? Sam!? Where you at?!"
Mantis,Something... is... happening. [she disintegrates into ashes]
Drax,[to Quill as he dissolves] Quill? [Quill stares in horror]
Tony Stark,"Steady, Quill."
peter quill,"Aw, man. [Quill also gets disintegrated into ashes]"
doctor e,"[calmly turns to Stark] Tony, there was no other way. [he finally gets erased.]"
peter parker,[realizes he's fading away] Mister Stark? I don't feel so good...
Tony Stark,"[trying to be calm, his voice shaking as he looks at Peter in terror] You're all right."
peter parker,"[stumbling and terrified] I don't know what's- I don't know what's happening. I don't- [Parker falls into Stark's arms, clutching him tight and crying] Save me, save me! I don't wanna go, I don't wanna go, sir, please. Please, I don't wanna go. I don't wanna go... I'm sorry. [Parker disintegrates into ashes in Stark's arms]"
Nebula,"[to Tony Stark, seeing Thanos' victory.] He did it."
james rhodes,What is this? What the hell is happening?
Steve Rogers,"[pause] Oh, God."
Nick Fury,Still no word from Stark?
Maria Hill,"No, not yet. We're watching every satellite in both hemispheres, there's still nothing. [receives three beeps from her device]"
Nick Fury,What is it?
Maria Hill,Multiple bogeys over Wakanda.
Nick Fury,Same energy signatures as New York?
Maria Hill,Ten times bigger.
Nick Fury,Tell Klein. We'll meet him at-
Maria Hill,Nick! [a car spirals out of control in front of them. They get out and Hill checks on the passengers.]
Nick Fury,They okay?
Maria Hill,There's no one here.
Nick Fury,Call Control. Code Red.
Maria Hill,Nick?
Nick Fury,Hill?
Nick Fury,"Oh, no. Motherf-"
lila,Mhm. 
Clint Barton,"Okay, now let's worry about how you get there. [Clint corrects his daughter's foot to the proper position, and adjusts her shooting stance.]"
Clint Barton,Put your foot this way. Here. Can you see?
lila,Yeah.
Clint Barton,You sure?
lila,Mhm. [Clint pushes Lila's hair in front of her face while covering her left eye.]
Clint Barton,How about now?
Clint Barton,Alright. Ready your fingers.
cooper,Nice.
laura,"Nice throw, kiddo."
cooper,You go.
laura,"Hey, you guys want mayo or mustard, or both? [Camera switches to Lila who then proceeds to look at Clint.]"
lila,Who wants mayo on a hotdog?
Clint Barton,Probably your brothers. 
Clint Barton,"Uh, two mustard, please! Thanks, mama. [Camera switches to Laura facing Nathaniel]"
laura,Mayo or mustard?
nathaniel,How about ketchup?
laura,Ketchup? [Camera switches back to Clint and his daughter]
Clint Barton,Mind your elbow. [Lila releases the arrow and it hits the target directly in the bullseye.]
Clint Barton,"Hahaha! Good job, Hawkeye. Go get your arrow."
laura,"Hey guys! Enough practice, soup's on!"
Clint Barton,"Alright, we're coming; we're hungry. [Clint looks behind him, but there's no one there, but dust being blown away by the wind.]"
Clint Barton,"Lila, let's go. [Clint starts to look around]"
Clint Barton,"Lila? [Clint starts to move and look around, and pick up the bow she had.]"
Clint Barton,"Honey? Hey, babe! Babe? Babe? Boys? Boys? Laura?"
Nebula,"Wrra! [Nebula, frustrated, puts her hands in a fighting stance while looking at Tony]"
Tony Stark,You don't need to do that. Because uh... you're just holding position. [Nebula flicks a paper football towards Tony]
Tony Stark,"Oh yeah, that was close. [Nebula once again flicks a paper football towards Tony]"
Tony Stark,That's a goal. You're now one a piece.
Nebula,I would like to try again. [Nebula flicks a paper football towards Tony]
Tony Stark,We tied up. Feel the tension? It's fun. 
Tony Stark,That was terrible. Now you have a chance to win. [Nebula flicks the paper football towards Tony]
Tony Stark,And... you've won. Congratulations.  [Tony reaches his hand out to shake Nebula's hand]
Tony Stark,Fair game. Good sport. [Nebula shakes Tony's hand]
Tony Stark,Have fun?
Nebula,It was fun. 
Tony Stark,This thing on? [The helmet scans Tony. Tony leans against the wall while taking deep breaths. He looks weak and malnutrition.]
Tony Stark,"Hey, Miss Potts... Pep."
Tony Stark,"If you find this recording, don't post it on social media. It's gonna be a real tear-jerker. I don't know if you're ever going to see these. I don't even know if you're... if you're still... Oh god,  I hope so."
Tony Stark,"Today is day 21, uh 22. [Cut to Tony standing at a window to stare out in space, waiting for his impending doom to arrive.]"
Tony Stark,"You know, if it wasn't for the existential terror of staring into a void of space, I'd say I'm feeling better today. The infection's run its course, Thanks to the blue meanie back there. [Cut to a shot of Nebula sitting in the back of the Benatar.]"
Tony Stark,"You'd love her. Very practical. Only a tiny bit sadistic. Some fuel cells were cracked during battle, but we figured out a way to reverse the ion charge to buy ourselves about 48 hours of time. [A shot of Tony and Nebual working on the fuel cells of the Benatar.]"
Tony Stark,"But it's now dead in the water. We're 1000 light years from the nearest 7 -11. Oxygen will run out tomorrow. And that'll be it. And Pep, I ... I know I said no more surprises, but I was really hooping to pull off one last one. But it looks like... well you know what it looks like. Don't feel bad about this. I mean, if you grovel for a couple of weeks, and then move on with enormous guilt. I should probably lie down. Please know that... when I drift off, I will think about you. It's always you."
Tony Stark,I couldn't stop him.
Steve Rogers,Neither could I.
Tony Stark,I lost the kid.
Steve Rogers,"Tony, we lost."
Tony Stark,Is ummm... [Tony struggles to ask about Pepper.]
Pepper Potts,Oh my god! [She and Tony embrace.]
Tony Stark,"It's okay. [In the Avengers Compound. The heroes are sitting in a living room area. Tony is sitting at a table, getting blood for healing.]"
Natasha Romanov,"It's been 23 days since Thanos came to Earth. World governments are in pieces. The parts that are still working are trying to take a census. An it looks like he did... exactly what he said he was going to do. Thanos wiped out fifty percent, of all living creatures."
Tony Stark,Where is he now? Where?
Steve Rogers,We don't know.
Rocket Raccoon,"He just opened a portal and walked through. [Cut to a shot of a sullen looking Thor, sitting on a bench, seemingly deep in thought.]"
Tony Stark,What's wrong with him?
Rocket Raccoon,"He's pissed. He thinks he failed. Which of course he did, but there's a lot of that's goin' around, ain't there?"
Tony Stark,"Honestly, until this exact second, I though you were a Build-A-Bear."
Rocket Raccoon,Maybe I am.
Natasha Romanov,"We've been hunting Thanos for three weeks now. Deep Space scans and satellites, and we got nothing."
Steve Rogers,"Tony, you fought him."
Tony Stark,"Who told you that? I didn't fight him. No, he wiped my face with a planet while the Bleecker Street Magician gave away the stone. That's what happened. There was no fight."
Steve Rogers,"Did he give you any clues, any coordinates, anything?"
Tony Stark,Pfft! I saw this coming a few years back. I had a vision. I didn't wanna believe it. Thought I was dreaming.
Steve Rogers,"Tony, I'm gonna need you to focus."
Tony Stark,And I needed you. As in past tense. That trumps what you need. It's too late buddy. Sorry. You know what I need. 
Tony Stark,"I need to shave. And I believe I remember telling you, Cap."
Rhodey,"Tony, Tony, Tony, stop!"
Tony Stark,Otherwise what we needed was a suit of armor around the world! Remember that? Wether it impacted our precious freedom or not- that's what we needed!
Steve Rogers,"Well, that didn't work out, did it?"
Tony Stark,"I said, ""we'll lose"". You said, ""We'll do that together too."" And guess what, cap? We lost. You weren't there. But that's what we do, right? Our best work after the fact? We're the Avengers, we're the Avengers. Not the Prevengers, right?"
Rhodey,"Okay, you made your point. Just sit down, ok?"
Tony Stark,"Nah, nah, nah. [He pushes Rhodey away] Here's my point."
Rhodey,Sit down!
Tony Stark,"[Referring to Carol] She's great, by the way. We need you. You're new blood. "
Rhodey,Tony!
Tony Stark,"Bunch of tired old mills! I got nothing for you, cap! I got no coordinates, no clues, no plan, no options. Zero. Zip. Nada. No trust. Liar. "
Tony Stark,"Here, take this. You find him, and you put that on. You hide."
Steve Rogers,Tony!
Tony Stark,I'm fine. I...
Rhodey,Bruce gave him sedative. He's gonna be out for the rest of the day.
Carol Danvers,You guys take care of him. And I'll bring Xorrian Elixir when I come back.
Rhodey,Where are you going?
Carol Danvers,To kill Thanos.
Natasha Romanov,"You know, we usually work as a team around here, and between you and I, we're also a little fragile. We realize this is more your territory, but this is our fight too."
Rocket Raccoon,Do you even know where he is?
Carol Danvers,I know people who might.
Nebula,To the Garden.
Rhodey,"That's cute, Thanos has a retirement plan."
Steve Rogers,So where is he then?
Rocket Raccoon,"When Thanos snapped his fingers, Earth became ground zero for a power surge of ridiculously cosmic proportions. No one's ever seen anything like it... Until two days ago. [A hologram of a planet pops up, with a shockwave visibly traversing the surface.]"
Nebula,On this planet. Thanos is there.
Natasha Romanov,He used the stones again.
Bruce Banner,"Hey, Hey, we'd be going in short-handed, you know."
Rhodey,"Look, he's still got the stones, so..."
Carol Danvers,So let's get him. We'll use them to bring everyone back.
Rhodey,Just like that?
Steve Rogers,"Yeah, just like that."
Natasha Romanov,Even if there's a small chance that we can undo this... I mean we owe it to everyone who's not in this room to try.
Bruce Banner,"If we do this, how do we know it's gonna end any differently than it did before?"
Carol Danvers,"Because before, you didn't have me."
Rhodey,"Hey, new girl, everyone here is about that superhero life. And if you don't mind my asking, where the hell have you been all this time."
Carol Danvers,"There are a lot of other planets in the universe. And unfortunately, they didn't have you guys."
Thor,I like this one.
Steve Rogers,Let's go get this son of a bitch. [Cut to a shot of everyone except for Carol and Tony aboard the Benatar.]
Rocket Raccoon,"Okay, who here hasn't been to space? [Nat, Cap, and Rhodey raise their hands.]"
Rhodey,Why?
Rocket Raccoon,You better not throw up on my ship. Approaching jump in 3... 2... 1!
Carol Danvers,I'll head down for ground recon.
Natasha Romanov,"This is gonna work, Steve."
Steve Rogers,I know it will.
Steve Rogers,Because I don't know what I'm going to do if it doesn't.
Carol Danvers,"No satellites, no ships, no armies, no ground defenses of any kind. It's just him."
Nebula,Then that's enough.
Rocket Raccoon,Oh no.
Natasha Romanov,Where are they?
Carol Danvers,Answer the question!
thanos,"The universe required correction. After that, the stones served no purpose, beyond temptation."
Bruce Banner,You murdered trillions!
thanos,You should be thankful.
Steve Rogers,Where are the stones?
thanos,Gone. Reduced to atoms.
Bruce Banner,You used them two days ago!
thanos,I used the stones to destroy the stones. It... nearly killed me. But the work is done. it always will be. I am inevitable.
Rhodey,"We have to tear this place apart, he has to be lying."
Nebula,My father is many things. A liar is not one of them.
thanos,"Thank you, daughter. Perhaps I treated you too harshly."
Rocket Raccoon,What... What did you do?
Thor,I went for the head.
man #1,"So I, uh... Went on a date the other day. First time in five years, you know? Sit there, dinner... I didn't know what to talk about."
Steve Rogers,What did you talk about?
man #1,"Same old crap, you know? How things have changed, and... my job, his job... How much we miss the Mets. Then things get quiet... He cried as they were serving the salads."
man #2,How about you?
man #1,"I cried just before dessert. But I'm seeing him tomorrow, so..."
Steve Rogers,"That's great. You did the hardest part. You took the jump, you didn't know where you were gonna come down. [Another man during the therapy session is seen starting to tear up.] And that's it. That's those little brave baby steps you gotta take. To try and become whole again. To try and find purpose. I went in the ice in '45 right after I met the love of my life. Woke up 70 years later. You got to move on. Got to move on. The world is in our hands. It's left to us guys, and we have to do something with it. Otherwise... Thanos should have killed us all."
Scott Lang,"[grunts as he pushes away a cushion out of his body, and deactivates the helmet, but still grunting in pain, as he sweeps away sparks from an electrical failure out of his suit, then try to stand up.] What the hell?"
Scott Lang,Hope?
Scott Lang,[yells] Kid! Hey kid!
Scott Lang,What the hell happened here?
Scott Lang,"No. Please. Please, please. [moves on to check the other side of the engraved stone] No, no, no. No. [Lang excuses aside a young couple as he keeps on checking another engraved stone if her daughter hadn't had her name on one.] Excuse me, sorry. No, Cassie, no."
Scott Lang,"[in a mantra-like] Please, please, please, please... No, Cassie. [Lang looks at the engraved stone in shock, revealing his name in it.]"
Scott Lang,What?
Scott Lang,Cassie?
cassie,"Dad? [Both of them emotionally hug each other as both dad and daughter had reunited. Then Lang shoves her back, realizing that her daughter is now a full-grown teenager.]"
Scott Lang,You're so big!
Rocket Raccoon,"Yeah, we boarded that highly suspect warship that Danvers pinged."
Nebula,It was an infectious garbage scowl.
Rocket Raccoon,"So, thanks for the hot tip. [turns to Danvers and replies back with a smirk]"
Carol Danvers,"Well, you were closer."
Rocket Raccoon,Yeah. And we smell like garbage.
Natasha Romanov,[turns to Okoye] You get a reading on those tremors?
okoye,It was a mild subduction under the African plate.
Natasha Romanov,Do we have a visual? How are we handling it?
okoye,"Nat, it's an earthquake under the ocean. We handle it by not handling it."
Natasha Romanov,"[turns to Danvers] Carol, are we seeing you here next month?"
Carol Danvers,Not likely.
Rocket Raccoon,"[realizing that she got a new haircut] What, you gonna get a new haircut?"
Carol Danvers,"[irritated] Listen fur-face, I'm covering a lot of territory. The things that are happening on Earth, are happening everywhere, on thousands of planets."
Rocket Raccoon,[murmurs to himself] That's a good point. That's a good point.
Carol Danvers,So you might not see me for a long time.
Natasha Romanov,"Alright. Uh, well. This channel is always active. So, anything goes sideways... anyone's making trouble where they shouldn't... comes through me."
okoye,Okay.
Natasha Romanov,"Alright. [One by one, the Avengers cut off their calls one by one...]"
Carol Danvers,Good luck. [cuts off call]
Natasha Romanov,Where are you?
Rhodey,Mexico. The federales found a room filled with bodies. Looks like a bunch of cartel guys. Never even had the chance to get their guns off.
Natasha Romanov,It's probably a rival gang.
Rhodey,Except it isn't. [Nat realizes something.]
Rhodey,"It's definitely Barton. What he's done here, what he's been doing for the last few years... I mean, the scene that he left..."
Rhodey,"I gotta tell you, there's a part of me that doesn't even want to find him."
Natasha Romanov,Will you find out where he's going next?
Rhodey,Nat...
Natasha Romanov,Please.
Rhodey,[reluctantly] Okay. [then Rhodes cuts off his] [Nat starts to cry as she tries to hold back her tears miserably.]
Steve Rogers,"You know I'd offer to cook you dinner but you seem pretty miserable already. [Out of nowhere, Roger slumps over a bookshelf, in the same mood as he is in the therapy session, as Nat wipes off the tears off her face.]"
Natasha Romanov,You here to do your laundry?
rogers,And to see a friend.
Natasha Romanov,"[referring to herself] Clearly, your friend is fine."
Steve Rogers,You know I saw a pod of whales when I was coming up the bridge.
Natasha Romanov,In the Hudson?
Steve Rogers,"There's fewer ships, cleaner water."
Natasha Romanov,"You know, if you're about to tell me to look on the bright side. Um... I'm about you to hit you in the head with a peanut butter sandwich. [jokingly smiles, as Rogers does the same]"
Steve Rogers,"[Walks and talks to her...] Sorry. Force of habit. [...and throws his jacket, then sits down on another chair.]"
Steve Rogers,"You know, I keep telling everyone they should move on and... grow. Some do. But not us."
Natasha Romanov,"If I move on, who does this?"
Steve Rogers,Maybe it doesn't need to be done.
Natasha Romanov,[Deep in her thoughts] I used to have nothing. Then I got this. This job... this family. And I was... I was better because of it. And even though... they're gone... I'm still trying to be better.
Steve Rogers,We both need to get a life.
Natasha Romanov,[Smiling] You first.
Scott Lang,"Uh... Hi. Hi! Is anyone home? This is Scott Lang. We met a few years ago, at the airport? In Germany? I got really big, and I had my mask on. You wouldn't recognize me."
Steve Rogers,[Standing up] Is this an old message?
Natasha Romanov,[Also standing up] It's the front gate.
Scott Lang,"Ant-man? Ant-man, I know you know that. I need to talk to you guys."
Steve Rogers,Are you okay?
Scott Lang,Yeah. I'm fine.
Scott Lang,Have either of you ever studied Quantum Physics?
Natasha Romanov,Only in mid-conversation.
Scott Lang,"Alright. So... five years ago, right before Thanos, I was in a place called the Quantum Realm. The Quantum Realm is like its own microscopic universe. To get in there, you have to be incredibly small. Hope, she's my... She was my... [struggling to not tell the entire truth about their relationship] She was supposed to pull me out. And then Thanos happened, and I got stuck in there."
Natasha Romanov,I'm sorry. That must've been a very long five years.
Scott Lang,"Yeah, but that's just it. For me it was five hours."
Scott Lang,"See, the rules of the Quantum Realm aren't like they are up here. Everything is unpredictable. Is that anybody's sandwich? I'm starving."
Steve Rogers,"Scott, what are you talking about?"
Scott Lang,"What I'm saying is, time works differently in the Quantum Realm. The only problem is right now, we don't have a way to navigate it. But what if we did? I can't stop thinking about it. What if, we could somehow control the chaos, and we could navigate it? What if there was a way to enter the Quantum Realm at a certain point in time but then exit at another point in time? Like... Like before Thanos."
Steve Rogers,"Wait, are you talking about a time machine?"
Scott Lang,"No. No, of course not. No, not a time machine. It's more like a... Yeah, a time machine. I know it's crazy. But I can't stop thinking about it. There's gotta be some way... No, it's crazy."
Natasha Romanov,"I get e-mails from a raccoon, so nothing sounds crazy anymore."
Steve Rogers,So who do we talk to about this?
Tony Stark,Chow time! [He seems to be speaking to someone unknown by the audience.]
Tony Stark,Morgoona? Morgan H. Stark.
Tony Stark,"Want some lunch? Define lunch or be disintegrated. [She puts on a helmet similar to Iron Man, with white replacing the red.]"
morgan,Okay.
Tony Stark,"You should not be wearing that, okay? That is part of a special anniversary gift I'm making for Mom. [Takes the helmet off Morgan's head. She emerges out smiling mischievously.] There you go. Are you thinking about lunch? Want a handful of crickets?"
morgan,No.
Tony Stark,That's what you want. How did you find this?
morgan,Garage.
Tony Stark,Really? Were you looking for it?
morgan,No. I found it though.
Tony Stark,"You like going to the garage, huh? So does daddy. It's fine, actually. Mum never wears anything I wear."
Scott Lang,"[Cut to after Scott's plan has been explained to Tony] Now, we know what it sounds like..."
Steve Rogers,"Tony, after everything you've seen, is anything really impossible?"
Tony Stark,"Quantum fluctuation messes with the Planck scale, which then triggers the Deutsch proposition. Can we agree on that?"
Tony Stark,"Thank-you. In Layman's terms, it means you're not coming home."
Scott Lang,I did.
Tony Stark,"No, you accidentally survived. It's a billion to one cosmic fluke. And now you wanna pull off a... What do you call it?"
Scott Lang,[looking embarrassed] A time heist?
Tony Stark,"Yeah, a time heist. Of course, why didn't we think of this before? Oh, because it's laughable? Because it's a pipedream?"
Scott Lang,The stones are in the past. We can go back and get them.
Natasha Romanov,We can snap our own fingers. We can bring everyone back.
Tony Stark,"Or screw it up worse than he already has, right?"
Steve Rogers,I don't believe we would.
Tony Stark,"Gotta say, sometimes I miss that giddy optimism. However, high hopes won't help if there's no logical, tangible way for me to safely execute said time heist. I believe the most likely outcome would be our collective demise."
Scott Lang,"Not if we strictly follow the rules of time travel. That means no talking to our past selves, no betting on sporting events -"
Tony Stark,"I'm gonna stop you right there, Scott. Are you seriously telling me that your plan to save the universe is based on Back To The Future?"
Scott Lang,No.
Tony Stark,Good. You had me worried there. 'Cause that'd be horse shit. That's not how quantum physics works.
Natasha Romanov,Tony... We have to take a stand.
Tony Stark,"We did stand. And yet, here we are."
Scott Lang,"I know you got a lot on the line. You got a wife, a daughter. But I lost someone very important to me. A lot of people did. And now, now we have a chance to bring her back. Bring everyone back. And you're telling me that won't even..."
Tony Stark,"That's right, Scott, I won't. Leave it. Got a kid."
morgan,Mommy told me to come and save you.
Tony Stark,"Good job. I'm saved. [Turning to face Cap, Nat and Scott.] I wish you'd come here to ask me something else. Anything else. Honestly, I... I missed you guys, it was... Oh, and table's set for six."
Steve Rogers,"Tony, I get it. And I'm happy for you, I really am. But this is a second chance."
Tony Stark,"I got my second chance right here, Cap. I can't roll the dice again. If you don't talk shop, you can stay for lunch."
Natasha Romanov,He's scared.
Steve Rogers,He's not wrong.
Scott Lang,"Yeah, but I mean, what are we gonna do? We need him. What, are we gonna top?"
Steve Rogers,"No, I wanna do it right. We're gonna need a really big brain."
Scott Lang,"[Incredulous, pointing to Tony's house] Bigger than his?"
Bruce Banner,"Come on, I feel like I'm the only one eating. [Pushing a plate forward] Try some of that. Have some eggs."
Scott Lang,I'm so confused.
Bruce Banner,[seriously] These are confusing times.
